Date,Region,Crime Type,Predicted Monster
2024-03-30,village,kidnapping,Witch
2023-04-06,village,kidnapping,Witch
2022-10-27,village,assault,Witch
2021-11-23,village,arson,Witch
2024-05-06,village,kidnapping,Witch
2023-06-03,village,murder,Witch
2021-09-23,village,arson,Witch
2023-07-13,village,theft,Witch
2024-01-23,village,kidnapping,Witch
2022-12-31,village,assault,Witch
2023-10-11,village,kidnapping,Witch
2023-11-29,village,kidnapping,Witch
2021-11-28,village,arson,Witch
2020-11-27,village,kidnapping,Witch
2021-02-25,village,arson,Witch
